APN,MINORITY_OWNED,FEMALE_OWNED,RECORDID,BUSDESC,B1_PER_SUB_TYPE,DBA,NAICS,TAX_CODE,EMPLOYEE_NUM,BUS_OWN_TYPE,B1_STATE,B1_FULL_ADDRESS,B1_SITUS_STATE
052 156308400,No,No,BL-044823,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,NILD JERRY,531110 - Lessors of Residential Buildings and Dwellings,L,3.0,Sole Ownership,CA,3161   COLLEGE AVE,CA
056 191904203,No,Yes,BL-044135,RESIDENTIAL RENTAL - 4 UNITS,Rental of Real Property,RICUCCI JOE & MERINOMI,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2414   SACRAMENTO ST,CA
058 215801600,,,BL-008746,CHILDREN'S CLOTHING ONLINE,Retail Trade,WOLF BANDIT & THE PUP BRIGADE,448130 - Children's and Infants' Clothing Stores,R,1.0,Sole Ownership,CA,1617 DELAWARE ST,CA
060 254500100,No,No,BL-038645,ADMINISTRATIVE HEADQUARTERS,Administrative Headquarters,ZORRO PRODUCTIONS,561110 - Office Administrative Services,Q,3.0,Corporation,CA,125   UNIVERSITY AVE,CA
052 155502500,No,Yes,BL-050523,VIDEO PRODUCTION,Entertainment Recreation,JOSYLN LYONS,512110 - Motion Picture and Video Production,E,0.0,Sole Ownership,CA,2130   PRINCE ST,CA
ZZZZZZZZZZZZZ,,,BL-047233,GENERAL CONTRACTOR,Construction or Contractor,TRADEWELL CONSTRUCTION,"238190 - Other Foundation, Structure, and Building Exterior Contractors",C,0.0,Sole Ownership,CA,0   VARIOUS,CA
,,,BL-001120,ROOFING CONTRACTOR,Construction or Contractor,WORLD EXTERIORS INC,236118 - Residential Remodelers,C,21.0,Corporation,CA,0 VARIOUS,CA
055 189900600,No,No,BL-009427,RESIDENTIAL RENTAL 7 UNITS,Rental of Real Property,GIORDANO CHRIS & ALFRED,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1935   HASTE ST,CA
052 153200900,,,BL-009116,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,GRIDLEY ROGER & SPARKS MEGAN,531110 - Lessors of Residential Buildings and Dwellings,L,2.0,Sole Ownership,CA,1707 SIXTY-THIRD ST,CA
,,,BL-006359,GIS CONSULTING SERVICES,Professional SemiProfessional,GEOGRAPHIC TECHNOLOGIES INC,541620 - Environmental Consulting Services,P,3.0,Corporation,TX,0 VARIOUS,CA
059 232400700,No,Yes,BL-047120,ARTIST ILLUSTRATOR,Professional SemiProfessional,BENIOFF CAROL,541430 - Graphic Design Services,P,0.0,Sole Ownership,CA,709   JONES ST,CA
ZZZZZZZZZZZZZ,No,No,BL-022647,CHIMNEY SWEEP & REPAIRS SERVICE,Construction or Contractor,EAST BAY CHIMNEY SERVICE,561790 - Other Services to Buildings and Dwellings,C,1.0,Sole Ownership,CA,0   VARIOUS,CA
063 315005000,No,Yes,BL-021084,DESIGN & ILLUSTRATION,Professional SemiProfessional,BUCK ART,541430 - Graphic Design Services,P,1.0,Sole Ownership,CA,1127   PARK HILLS RD,CA
054 171602500,No,Yes,BL-017675,RENTAL PROPERTY 6 UNITS,Rental of Real Property,HUANG SHI T/YANG QI J,531110 - Lessors of Residential Buildings and Dwellings,L,1.0,Sole Ownership,CA,2318   WARD ST,CA
052 152001500,,,BL-007910,JEWELRY DESIGN & SALES,Retail Trade,UNLOVABLE,448310 - Jewelry Stores,R,0.0,Sole Ownership,CA,1512 HARMON ST D,CA
053 158801400,No,Yes,BL-046542,FAMILY PSYCHOTHERAPY,Professional SemiProfessional,"TORREY, FRANCES",621330 - Offices of Mental Health Practitioners (except Physicians),P,1.0,Sole Ownership,CA,2127   ASHBY AVE,CA
055 190703500,No,No,BL-053952,COMPUTER GAME DESIGN SERVICE,Professional SemiProfessional,CARLESS ADRIAN,541511 - Custom Computer Programming Services,P,1.0,Sole Ownership,CA,2401   MCGEE AVE,CA
056 193602600,No,No,BL-002739,SOFTWARE COMPANY,Professional SemiProfessional,CV  MEASUREMENTS,541519 - Other Computer Related Services,P,0.0,Sole Ownership,CA,2427 EIGHTH ST,CA
ZZZZZZZZZZZZZ,,,BL-011750,GENERAL CONTRACTOR,Construction or Contractor,KEYSTONE HOME IMPROVEMENTS INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,Yes,BL-053977,DANCE INSTRUCTION,Professional SemiProfessional,DYE RISA,611610 - Fine Arts Schools,P,1.0,Sole Ownership,CA,0   VARIOUS,CA
,,,BL-004962,ENVIRONMENTAL ENGINEERING FIRM,Professional SemiProfessional,"ENGINEERING/REMEDIATION RESOURCES GROUP, INC",541330 - Engineering Services,P,175.0,Corporation,CA,0 VARIOUS,CA
056 194200302,No,No,BL-002091,ENVIRONMENT HYDROLOGY ENGINEERING,Professional SemiProfessional,BALANCE HYDROLOGICS INC,541330 - Engineering Services,P,28.0,Corporation,CA,800   BANCROFT WAY 101,CA
060 245301400,No,Yes,BL-026837,RENTAL PROPERTY/10 UNITS,Rental of Real Property,STEIDL N/ NS PROPERTIES,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Partnership,CA,1327   MILVIA ST,CA
058 215402401,Yes,Yes,BL-005437,RESIDENTIAL RENTAL 6 UNITS,Rental of Real Property,GEE MARLENA,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1502   CEDAR ST,CA
059 227801600,No,Yes,BL-054157,LIFE COACH/CONSULTANT,Professional SemiProfessional,SCHINDELMAN ELLIE,541511 - Custom Computer Programming Services,P,0.0,Sole Ownership,CA,1524   MCGEE AVE,CA
,,,BL-001572,FIRE SPRINKLER INSTALLATION,Construction or Contractor,RCM FIRE PROTECTION,238990 - All Other Specialty Trade Contractors,C,2.0,Corporation,CA,0 VARIOUS,CA
062 291502900,No,Yes,BL-012293,CONSULTING RESEARCH,Professional SemiProfessional,I M S,"541614 - Process, Physical Distribution, and Logistics Consulting Services",P,0.0,Sole Ownership,CA,665   SAN LUIS RD,CA
,,,BL-002195,BUILDING & REMODEL OF SWIMMING POOLS & SPAS,Construction or Contractor,APACHE POOLS INC,238990 - All Other Specialty Trade Contractors,C,3.0,Corporation,CA,0 VARIOUS,CA
052 158200700,No,Yes,BL-006256,RESIDENTIAL RENTAL 7 UNITS,Rental of Real Property,HELMERS HAROLD,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2910   FULTON ST,CA
055 183602100,No,Yes,BL-044514,PSYCHOTHERAPY PRACTICE,Professional SemiProfessional,BEVERLY BURCH DR,621330 - Offices of Mental Health Practitioners (except Physicians),P,0.0,Sole Ownership,CA,2417   CARLETON ST 3,CA
ZZZZZZZZZZZZZ,No,No,BL-041677,MACHINERY/PUMP-CONTRACTOR,Construction or Contractor,SUPERIOR EQUIPMENT CO INC,238290 - Other Building Equipment Contractors,C,3.0,Corporation,CA,0   VARIOUS,CA
054 171801300,No,No,BL-047009,RENTAL PROPERTY - RESIDENTIAL,Rental of Real Property,STERLING RICHARD,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2223   WARD ST,CA
055 188500202,Yes,Yes,BL-046683,HAIRSTYLIST,Business Personal Repair Svs,NGUYEN CHANH THI,812112 - Beauty Salons,B,1.0,Sole Ownership,CA,2315   DURANT AVE,CA
052 157401404,No,No,BL-003652,MEDICAL DOCTORS,Professional SemiProfessional,SORENSON & SORENSON,621320 - Offices of Optometrists,P,22.0,Corporation,CA,3010   COLBY ST 114,CA
,,,BL-006607,GENERAL BUILDING CONTRACTOR,Construction or Contractor,CHRIS P ENSSLIN CONSTRUCTION INC,236118 - Residential Remodelers,C,3.0,Corporation,CA,0 VARIOUS,CA
062 287202500,,,BL-004104,NAIL SALON,Business Personal Repair Svs,YUME NAIL SALON,812113 - Nail Salons,B,1.0,Sole Ownership,CA,1563 SOLANO AVE,CA
059 231700600,No,Yes,BL-043778,FUNDRAISING CONSULTING,Professional SemiProfessional,SIMI RENEE,541611 - Administrative Management and General Management Consulting Services,P,1.0,Sole Ownership,CA,1510   FOURTH ST STE 4,CA
ZZZZZZZZZZZZZ,,,BL-010927,IT MGMT & TECHNOLOGY CONSULTING SERVICES,Professional SemiProfessional,MORAN TECHNOLOGY CONSULTING INC,541519 - Other Computer Related Services,P,12.0,Corporation,IL,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-024903,SOFTWARE,Professional SemiProfessional,SUNGARD HTE INC,541511 - Custom Computer Programming Services,P,0.0,Corporation,FL,0   VARIOUS,CA
060 236001209,No,No,BL-020466,COMMERCIAL PROPERTY RENTAL LT INDUSTRIAL,Rental of Real Property,ROBERTS FIFTH STREET LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,LLC,CA,1234   FIFTH ST,CA
060 245503805,No,No,BL-043986,MARTIAL ARTS SCHOOL,Professional SemiProfessional,BAY AREA SHODOKAN AIKIDO,611620 - Sports and Recreation Instruction,P,1.0,Sole Ownership,CA,1301   SHATTUCK AVE,CA
ZZZZZZZZZZZZZ,,,BL-012611,CONSTRUCTION,Construction or Contractor,ALLI CONSTRUCTION INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-051192,SOLAR SYSTEMS,Construction or Contractor,SUNLOGIC INC,238990 - All Other Specialty Trade Contractors,C,3.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-047195,PLUMBING CONTRACTOR,Construction or Contractor,ALL VALLEY PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,1.0,Corporation,CA,0   VARIOUS,CA
,,,BL-001141,PEST CONTROL,Business Personal Repair Svs,DEWEY PEST CONTROL,561710 - Exterminating and Pest Control Services,B,1.0,Corporation,CA,0 VARIOUS,CA
,,,BL-002017,CYBER RISK MANAGEMENT,Professional SemiProfessional,COALFIRE SYSTEMS INC,541618 - Other Management Consulting Services,P,0.0,Corporation,CO,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-041874,GENERAL CONTRACTOR,Construction or Contractor,AVAR CONSTRUCTION INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,75.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-051906,GENERAL CONTRACTOR,Construction or Contractor,"BELFOR USA GROUP, INC.",236115 - New Single-Family Housing Construction (except For-Sale Builders),C,31.0,Corporation,CA,0   VARIOUS,CA
059 225401700,No,Yes,BL-001261,MULTI RESIDENTIAL 3 UNITS,Rental of Real Property,BUCHANAN MARVIN ETAL,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2265   VINE ST,CA
ZZZZZZZZZZZZZ,No,No,BL-001549,CREAMERY & DAIRY DISTRIBUTION,Wholesale Trade,BERKELEY FARMS,424430 - Dairy Product (except Dried or Canned) Merchant Wholesalers,W,415.0,Corporation,CA,0   VARIOUS,CA
053 158901801,,Yes,BL-002494,PSYCHOTHERAPY,Professional SemiProfessional,GOODMAN RACHEL,621330 - Offices of Mental Health Practitioners (except Physicians),P,0.0,Sole Ownership,CA,2925 SHATTUCK AVE,CA
058 219501100,No,Yes,BL-019498,RESIDENTIAL RENTALS 4 UNITS,Rental of Real Property,HAMMOND CHAS A & ARA,531110 - Lessors of Residential Buildings and Dwellings,L,1.0,Partnership,CA,2421   HILGARD AVE,CA
058 219700702,No,No,BL-049093,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,MASHHADIALIREZA ABBAS,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2555   VIRGINIA ST,CA
,No,No,BL-047922,GENERAL CONTRACTOR,Construction or Contractor,ALIVE DESIGN & CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0   VARIOUS,CA
,No,No,BL-002737,GENERAL CONTRACTOR,Construction or Contractor,BAY HAWK INC,236118 - Residential Remodelers,C,5.0,Corporation,CA,0 VARIOUS,CA
053 158901801,No,Yes,BL-043799,PSYCHOTHERAPY,Professional SemiProfessional,"RACHEL KATZ, MFT, PH.D",621330 - Offices of Mental Health Practitioners (except Physicians),P,0.0,Sole Ownership,CA,2955   SHATTUCK AVE 11,CA
060 245503805,,,BL-002854,CHILD DEVELOPMENT SOCCER CLASSES FOR CHILDREN 12 MONTHS TO 7 YEARS,Professional SemiProfessional,SUPER SOCCER STARS,611620 - Sports and Recreation Instruction,P,73.0,LLC,NY,1301 SHATTUCK AVE,CA
054 180701600,,,BL-006011,WEBSITE FOR REAL ESTATE AGENTS & PLANNERS,Business Personal Repair Svs,MICHAEL WERTHEIM,519190 - All Other Information Services,B,0.0,Sole Ownership,CA,1713 BLAKE ST,CA
052 156801101,,,BL-012137,SPA - ESTHETIC SERVICES & BEAUTY PRODUCTS,Business Personal Repair Svs,BLUEMERCURY INC,812112 - Beauty Salons,B,5.0,Corporation,OH,2956 COLLEGE AVE,CA
053 159901800,,,BL-004738,EDITORIAL SERVICES WRITING EDITING COMMUNICATIONS MARKETING,Professional SemiProfessional,CHULEENAN SVETVILAS,541618 - Other Management Consulting Services,P,1.0,Sole Ownership,CA,1939 ASHBY AVE 1,CA
ZZZZZZZZZZZZZ,No,No,BL-053348,MECHANICAL CONTRACTOR,Construction or Contractor,"STEVENSON MECHANICAL, INC","238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,5.0,Corporation,CA,0   VARIOUS,CA
,No,No,BL-004285,"GENERAL CONTRACTOR; ELECTRICAL, PLUMBING, ROOFING, CARPENTRY AND HOME CONSTRUCTION.",Construction or Contractor,HALL'S CONSTRUCTION,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1.0,Sole Ownership,CA,0 VARIOUS,CA
055 185305100,No,No,BL-000651,ART / ILLUSTRATION / DESIGN /WRITING,Professional SemiProfessional,ALFRED TWU,541490 - Other Specialized Design Services,P,0.0,Sole Ownership,CA,2415 PROSPECT ST,CA
,,,BL-003560,CONCRETE CONTRACTOR,Construction or Contractor,VAN MIDDE & SON CONCRETE,238110 - Poured Concrete Foundation and Structure Contractors,C,30.0,Corporation,CA,0 VARIOUS,CA
,,,BL-009409,HVAC CONTRACTOR,Construction or Contractor,OMAK CONSTRUCTION INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,3.0,Corporation,CA,0 VARIOUS,CA
059 225902100,No,No,BL-034424,COMMERCIAL RENTAL - MEDICAL BLDG (81),Rental of Real Property,BAUMRIND SHELDON & JOAN,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,Sole Ownership,CA,1525   WALNUT ST,CA
060 245305600,No,No,BL-034230,LAW OFFICES,Professional SemiProfessional,LAW OFFICES OF DAVID D BUNN,541110 - Offices of Lawyers,P,1.0,Sole Ownership,CA,2025   ROSE ST 200,CA
058 219900700,No,No,BL-020257,ROOMING HOUSE,Non Profit Organizations,UNIVERSITY STUDENTS' COOP,721310 - Rooming and Boarding Houses,N,25.0,Corporation,CA,2527   RIDGE RD,CA
061 260300400,No,No,BL-014316,RESIDENTIAL RENTALS 10 UNITS,Rental of Real Property,HENRY D WEISS TRUST,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,908   THE ALAMEDA,CA
055 184301600,,,BL-020240,ROOMING HOUSE,Non Profit Organizations,UNIVERSITY STUDENTS' COOP,721310 - Rooming and Boarding Houses,N,25.0,Corporation,CA,2601   PARKER ST,CA
054 180201700,Yes,No,BL-007680,RESUDENTIAL RENTAL 6 UNITS,Rental of Real Property,LAM ELEIN CHENG & YVONNE,531110 - Lessors of Residential Buildings and Dwellings,L,1.0,Sole Ownership,CA,2675   SACRAMENTO ST,CA
057 205800605,,,BL-010402,"PSYCHOTHERAPY FOR ADULTS, TEENS & FAMILIES BY A LICENSED MARRIAGE & FAMILY THERAPIST",Professional SemiProfessional,FAHOURI GINA LMFT,621399 - Offices of All Other Miscellaneous Health Practitioners,P,0.0,Sole Ownership,CA,1918 BONITA AVE,CA
058 220400600,No,No,BL-026204,RENTAL PROPERTY 4 UNITS,Rental of Real Property,BURASTERO ROBERT/LILLIAN,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Partnership,CA,2713   RIDGE RD,CA
ZZZZZZZZZZZZZ,No,No,BL-054099,MAN/MATERIAL HOIST,Construction or Contractor,ENGEL HOLDINGS,238910 - Site Preparation Contractors,C,2.0,Corporation,CA,0   VARIOUS,CA
056 197901600,,,BL-003285,CAFE,Retail Trade,HIGHWIRE COFFEE ROASTERS,722410 - Drinking Places (Alcoholic Beverages),R,11.0,Corporation,CA,2049 SAN PABLO AVE,CA
055 191302800,No,Yes,BL-048867,EDUCATIONAL CONSULTANT,Professional SemiProfessional,JOHNSTON ANNE,611710 - Educational Support Services,P,0.0,Sole Ownership,CA,2327   SPAULDING AVE,CA
055 187801000,No,Yes,BL-019857,RESIDENTIAL 30 UN RENTAL PROPERTY,Rental of Real Property,LANDIS JUDSON R,531110 - Lessors of Residential Buildings and Dwellings,L,4.0,Sole Ownership,CA,2419   DURANT AVE,CA
057 204601000,Yes,Yes,BL-024871,PHOTOCOPYING,Business Personal Repair Svs,KRISHNA COPY CENTER,561439 - Other Business Service Centers (including Copy Shops),B,4.0,Corporation,CA,2111   UNIVERSITY AVE,CA
,,,BL-001860,GEOTECHNICAL ENGINEERING & ENVIRONMENTAL,Professional SemiProfessional,CORNERSTONE EARTH GROUP INC,541330 - Engineering Services,P,50.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-011480,UTILITY LOCATING SERVICES,Construction or Contractor,SUBTRONIC CORPORATION,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4.0,Corporation,CA,0 VARIOUS,CA
057 209803200,No,Yes,BL-047951,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,BERGER ANNA,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,1.0,Sole Ownership,CA,800   DELAWARE ST 6-13,CA
ZZZZZZZZZZZZZ,No,No,BL-003692,AUTOMOTIVE ELECTRICAL REPAIR,Business Personal Repair Svs,D A STONE ELECTRICS,811118 - Other Automotive Mechanical and Electrical Repair and Maintenance,B,1.0,Sole Ownership,CA,0   VARIOUS,CA
053 170300800,No,No,BL-030914,CLINICAL SERVICE,Non Profit Organizations,THROUGH THE LOOKING GLASS,621420 - Outpatient Mental Health and Substance Abuse Centers,N,56.0,Corporation,CA,3075   ADELINE ST 120,CA
ZZZZZZZZZZZZZ,No,No,BL-039656,GENERAL CONTRACTOR,Construction or Contractor,KIRK WALL CONSTRUCTION,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0.0,Sole Ownership,CA,0   VARIOUS,CA
,No,No,BL-005300,ELECTRICAL CONTRACTOR,Construction or Contractor,VALUE ELECTRICAL CONSTRUCTION INC.,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,1.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-008744,CONSTRUCTION,Construction or Contractor,DAJANI CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-047173,CHUTE INSTALLATION & SUPPLY,Construction or Contractor,"AMERICAN TRASH MANAGEMENT, INC",562998 - All Other Miscellaneous Waste Management Services,C,0.0,Corporation,CA,0   VARIOUS,CA
060 243402102,No,Yes,BL-004599,FLORIST,Retail Trade,FRESHLY CUT,453110 - Florists,R,2.0,Sole Ownership,CA,1301   CALIFORNIA ST,CA
058 217801800,,,BL-003401,WOMEN CLOTHING & ACESSORIES,Retail Trade,LOBELIA,448120 - Women's Clothing Stores,R,0.0,Sole Ownership,CA,1677 SHATTUCK AVE,CA
,,,BL-002879,CONCRETE CONSTRUCTION,Construction or Contractor,BILL BROWN CONSTRUCTION,237990 - Other Heavy and Civil Engineering Construction,C,6.0,Corporation,CA,0 VARIOUS,CA
054 174600205,,,BL-007948,ADMIN HEADQUARTERS - SPARKLING BERVERAGES,Administrative Headquarters,SUMMERMADE LLC,561110 - Office Administrative Services,Q,0.0,LLC,CA,2701 EIGHTH ST 101,CA
058 224201101,No,No,BL-046864,SOFTWARE DESIGN & SERVICES,Professional SemiProfessional,PLAN ELEMENTS INC,541511 - Custom Computer Programming Services,P,1.0,Corporation,CA,2895   BUENA VISTA WAY,CA
ZZZZZZZZZZZZZ,No,No,BL-031526,GENERAL CONTRACTOR,Construction or Contractor,"BLACK & MANDELLA, INC",238350 - Finish Carpentry Contractors,C,1.0,Corporation,CA,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-007501,GRADING PAVING CONCRETE,Construction or Contractor,PACIFIC COAST GENERAL ENGINEERING,238110 - Poured Concrete Foundation and Structure Contractors,C,36.0,Corporation,CA,0 VARIOUS,CA
060 239502900,Yes,Yes,BL-020729,COMMERCIRAL RENTAL PROPERTY 25 UNITS,Rental of Real Property,EMANUEL R,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,1.0,Sole Ownership,CA,1519   SAN PABLO AVE,CA
054 174201700,,,BL-011388,HANDMADE ARTISAN GOODS - ONLINE,Retail Trade,DE IXCHEL ERIKA,454111 - Electronic Shopping,R,0.0,Sole Ownership,CA,2736 WALLACE ST,CA
ZZZZZZZZZZZZZ,,,BL-010766,CONSTRUCTION,Construction or Contractor,LIBORIOS GENERAL BUILDERS,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-005454,ELECTRICAL CONTRACTOR,Construction or Contractor,MR CHETO ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-008035,CONTRACTOR REMODELING,Construction or Contractor,DELTA GENERAL CONSTRUCTION,236118 - Residential Remodelers,C,3.0,Sole Ownership,CA,0 VARIOUS,CA
057 205602100,No,No,BL-041475,APARTMENT BUILDING,Rental of Real Property,HAMID HASHEMI,531110 - Lessors of Residential Buildings and Dwellings,L,4.0,Sole Ownership,CA,1915   BONITA AVE,CA
ZZZZZZZZZZZZZ,,,BL-011799,"PROVIDE SERVICES TO CHILDREN, YOUTH & FAMILIES TO REDUCE THE IMPACT OF TRAUMA & SOCIAL INEQUITIES",Non Profit Organizations,EAST BAY AGENCY FOR CHILDREN,624110 - Child and Youth Services,N,200.0,Corporation,CA,0 VARIOUS,CA
060 243502503,,,BL-003034,BEAUTY SALON,Business Personal Repair Svs,SUSIE'S SALON,812112 - Beauty Salons,B,0.0,Sole Ownership,CA,1615 HOPKINS ST,CA
053 160701300,,,BL-005877,WRITING & EDITING COMMUNICATIONS,Business Personal Repair Svs,EDITRIX COMMUNICATIONS,561410 - Document Preparation Services,B,1.0,Sole Ownership,CA,1619 TYLER ST,CA
,,,BL-006417,PSYCHOTHERAPY SERVICES,Non Profit Organizations,MIND TO MINDFUL,"621112 - Offices of Physicians, Mental Health Specialists",N,2.0,Corporation,CA,2434 MILVIA ST,CA
057 207000400,,,BL-006802,PUBLIC INTEREST ENVIRONMENTAL LAW PRACTICE,Professional SemiProfessional,LAW OFFICES OF STEPHAN C VOLKER,541110 - Offices of Lawyers,P,6.0,Sole Ownership,CA,1633 UNIVERSITY AVE,CA
ZZZZZZZZZZZZZ,,,BL-010329,REMODELING,Construction or Contractor,AA QUALITY CONSTRUCTION INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,2.0,Corporation,CA,0 VARIOUS,CA
057 207201200,No,No,BL-020022,RESIDENTIAL RENTAL PROPERTY 4 UN,Rental of Real Property,KAWAKAMI ELAINE F,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1424   BERKELEY WAY,CA
053 161802300,,,BL-010563,RENTAL PROPERTY - RESIDENTIAL,Rental of Real Property,CHAN KIT Y,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2915 STANTON ST,CA
ZZZZZZZZZZZZZ,Yes,No,BL-049844,ELECTRICAL CONTRACTOR,Construction or Contractor,GREENELECTRIC US,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0.0,Sole Ownership,CA,0   VARIOUS,CA
,,,BL-003208,"DEMOLITION, LAND CLEARING & TREE SERVICE",Construction or Contractor,DEKAY DEMOLITION AND CLEARING INC,237990 - Other Heavy and Civil Engineering Construction,C,2.0,Corporation,CA,0 VARIOUS,CA
053 161301200,,,BL-006194,CUTTING HAIR,Business Personal Repair Svs,SHARP LINES BARBER SHOP,812111 - Barber Shops,B,1.0,Sole Ownership,CA,3045 SACRAMENTO ST,CA
ZZZZZZZZZZZZZ,,,BL-009984,SCHOLAR & RESEARCH ASSISTANT,Professional SemiProfessional,KARABELNIK YAMIT,611710 - Educational Support Services,P,1.0,Sole Ownership,CA,0 VARIOUS,CA
058 220000800,Yes,No,BL-050984,RESTAURANT,Retail Trade,T C GARDEN,722110,R,2.0,Sole Ownership,CA,2507   HEARST AVE B,CA
056 195900800,,,BL-002432,RENTAL PROPERTY - 3 UNITS,Rental of Real Property,MOORE AND MOORE PROPERTIES,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,LLC,CA,2124 FIFTH ST,CA
059 226200100,No,No,BL-037875,PROPERTY MANAGEMENT,Professional SemiProfessional,MAXIMANAGEMENT,531390 - Other Activities Related to Real Estate,P,4.0,Sole Ownership,CA,1400   SHATTUCK AVE,CA
053 160800400,Yes,No,BL-000864,COMMERCIAL RENTAL PROPERTY 4 UNITS,Rental of Real Property,AU-YEUNG ALAN & ANGELA,531110 - Lessors of Residential Buildings and Dwellings,L,1.0,Sole Ownership,CA,2998   KING ST,CA
055 184102200,Yes,Yes,BL-028470,RESIDENTIAL RENTAL - 21 UNITS,Rental of Real Property,RAJ PROPERTIES,531110 - Lessors of Residential Buildings and Dwellings,L,10.0,Partnership,CA,2637   REGENT ST,CA
ZZZZZZZZZZZZZ,,,BL-011085,PSYCHOTHERAPY & CONSULTATION,Professional SemiProfessional,KARACA KRISTINE,621330 - Offices of Mental Health Practitioners (except Physicians),P,0.0,Sole Ownership,CA,0 VARIOUS,CA
,No,No,BL-000439,PHYSICIAN,Professional SemiProfessional,ALIN FOUNDATION MEDICAL,621111 - Offices of Physicians (except Mental Health Specialists),P,4.0,Sole Ownership,CA,2107   DWIGHT WAY 100,CA
053 167900700,,,BL-000810,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,BROWN ASHA,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1937 RUSSELL ST,CA
ZZZZZZZZZZZZZ,Yes,No,BL-049389,ELECTRICAL CONTRACTOR,Construction or Contractor,TRI ELECTRIC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,1.0,Sole Ownership,CA,0   VARIOUS,CA
060 235500305,No,Yes,BL-008306,AUTOMOTIVE RESTORATION & REPAIR,Business Personal Repair Svs,LAURENCE ANDERSON CO,"811121 - Automotive Body, Paint, and Interior Repair and Maintenance",B,2.0,Sole Ownership,CA,1214   TENTH ST,CA
,,,BL-009141,GENERAL CONTRACTOR,Construction or Contractor,XIN XIN CONSTRUCTION,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,2.0,Corporation,CA,0 VARIOUS,CA
060 243601801,,,BL-012047,RENTAL PROPERTY - 4 UNITS,Rental of Real Property,HARRIET & ROSE HOLDINGS LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,LLC,CA,1299 CARLOTTA AVE,CA
